JK,IPS1,IPS2,IPS3,IPS4,IPS5,IPS6,SKS1,SKS2,SKS3,SKS4,SKS5,SKS6,KETERANGAN
2,2.79,3.11,2.41,2.75,3.09,2.79,19,21,22,16,22,24,3
1,3.26,2.95,3.05,3.27,3.33,3.61,19,21,19,22,24,23,2
2,3.3,3.52,3.18,3.59,3.67,3.38,19,21,22,22,24,24,2
2,3.11,3.04,,,,,19,21,,,,,
2,3.26,3.24,3.14,3.32,3.5,3.33,19,21,22,22,24,24,3
2,3.21,3.33,2.77,3.42,3.33,3.39,19,22,22,19,24,23,2
1,3.11,3.24,3.05,3.27,3.38,3.63,19,21,22,22,24,24,3
2,3.11,3.14,2.91,3.15,3.21,3.22,19,21,22,20,24,23,3
2,3.21,3.24,2.91,3,3.36,3.33,19,21,22,20,22,24,2
2,3.26,3,2.91,2.85,3.19,3.32,19,21,22,20,21,22,2
2,2.95,2.95,2.42,2.5,3.06,2.79,19,20,19,14,18,24,3
2,3.21,3.48,2.91,3.15,3.58,3.39,19,21,22,20,24,23,2
1,3.11,3.09,2.91,3.3,3.2,3.29,19,21,22,20,24,24,3
2,2.89,3.05,2.77,3,2.64,2.86,19,20,22,17,22,22,2
